TRACT,YEAR,TOTAL_HU,HOUSEHOLDS,VALUE_LOW,VALUE_MID,VALUE_HIGH
415100,2023,1651,1629,110,726,366
415200,2023,1945,1929,1464,377,96
415300,2023,1482,1453,561,745,37
415401,2023,2484,2370,138,322,74
415402,2023,1138,1114,219,509,346
415500,2023,2318,2267,101,1471,260
415600,2023,1083,1060,0,378,693
415700,2023,1373,1359,0,938,433
415800,2023,1741,1717,0,1515,225
415900,2023,1213,1194,2,1010,201
416000,2023,1947,1917,229,1134,46
416100,2023,1502,1477,6,1055,383
416200,2023,1519,1519,0,0,0
416300,2023,821,768,143,491,147
420100,2023,1169,1149,83,1013,47
420201,2023,1305,1282,78,1103,121
420202,2023,1066,1033,373,44,4
420203,2023,976,961,6,827,142
420300,2023,2166,2124,100,1900,164
420400,2023,2490,2422,607,300,1
420501,2023,1004,1004,761,243,0
420502,2023,1167,1105,375,181,0
420503,2023,1689,1569,400,296,1
420600,2023,2417,2282,62,1077,14
420700,2023,1460,1432,9,1258,185
420800,2023,1200,1170,111,1032,50
421001,2023,1030,1011,435,561,30
421002,2023,1989,1925,18,986,7
421101,2023,2204,2178,786,1399,15
421102,2023,1529,1473,14,922,47
421103,2023,2307,2285,714,1423,167
421200,2023,689,683,0,689,0
421300,2023,1458,1428,394,1058,2
421400,2023,2995,2875,191,508,8
421500,2023,2411,2313,483,511,0
421600,2023,1978,1930,1195,132,0
421701,2023,1422,1396,872,130,0
421702,2023,1267,1245,543,724,0
421800,2023,2369,2291,1241,310,3
421900,2023,1002,974,10,3,0
422000,2023,1375,1351,289,704,0
422101,2023,2534,2430,756,667,4
422102,2023,2151,2112,817,1050,16
422201,2023,1483,1454,116,682,465
422202,2023,2257,2218,583,1130,65
422301,2023,1345,1305,112,731,54
422302,2023,2545,2516,1244,1095,137
422401,2023,1126,1045,268,362,6
422402,2023,2111,2075,551,1076,58
422403,2023,1021,1010,1,964,55
430101,2023,1547,1540,1,1480,66
430102,2023,1051,1035,177,818,56
430201,2023,1426,1408,143,1231,52
430202,2023,1642,1629,70,1454,113
430203,2023,902,886,2,898,2
430400,2023,2321,2286,5,2302,14
430500,2023,571,566,0,569,2
430600,2023,1811,1771,36,1383,5
430700,2023,929,908,7,916,5
430801,2023,1514,1497,153,1356,4
430802,2023,1812,1776,1331,481,0
430901,2023,1440,1418,174,802,218
430902,2023,1090,1081,190,875,25
431001,2023,1586,1571,333,1248,3
431002,2023,752,748,195,557,0
431300,2023,1417,1400,1,1387,28
431400,2023,1462,1450,104,1353,2
431500,2023,2029,2004,202,1625,200
431601,2023,1371,1371,0,0,0
431602,2023,1992,1966,341,1161,245
431801,2023,1442,1417,345,1080,17
431802,2023,1042,1034,281,704,56
431900,2023,1055,1049,0,1035,18
432000,2023,1127,1112,247,777,3
432100,2023,1448,1441,694,748,6
432201,2023,851,832,391,100,0
432202,2023,1610,1599,117,1373,19
432300,2023,1747,1740,18,1370,258
432401,2023,1179,1173,1,1172,6
432402,2023,1658,1644,22,1612,24
432500,2023,1890,1868,99,1769,20
432600,2023,1589,1574,160,1254,171
432701,2023,1097,1082,25,1061,10
432702,2023,1507,1479,741,657,9
432800,2023,773,766,225,444,4
440100,2023,2573,2543,162,1152,780
440201,2023,2197,2085,719,296,54
440202,2023,2207,2156,632,687,126
440300,2023,958,948,0,817,138
440501,2023,1660,1644,2,1530,126
440503,2023,132,131,0,81,49
440504,2023,0,0,0,0,0
440505,2023,479,475,0,394,81
440600,2023,959,947,1,738,56
440701,2023,979,971,0,944,33
440702,2023,1807,1794,0,1737,70
440800,2023,2158,2120,2,1678,262
